,Artist,Rank,Song1,Year
697,Barbra Streisand,348,People,1964
698,The Skyliners,349,I'll Be Seeing You,1960
699,Elvis Presley,350,She Thinks I Still Care,1976
700,Freddy Cannon,351,Palisades Park,1962
701,The Righteous Brothers,352,Ebb Tide,1965
702,The Contours,353,Do You Love Me,1962
703,The Lovin' Spoonful,354,Do You Believe In Magic,1965
704,Unit Four Plus Two,355,Concrete And Clay,1965
705,Michael Jackson,356,Billie Jean,1982
706,Jay And The Americans,357,Come A Little Bit Closer,1964
707,The Beatles,358,And I Love Her,1964
708,Frankie Lymon And The Teenagers,359,The A.B.C's Of Love,1956
709,The Tune Weavers,360,"Happy, Happy Birthday BabyPaul Gayten",1957
710,The Flamingos,361,Golden Teardrops,1953
711,The Happenings,362,Go Away Little Girl,1966
712,Laura Branigan,363,Gloria,1982
713,Ray Charles,364,Georgia On My Mind,1960
714,Barry McGuire,365,Eve Of Destruction,1965
715,Bobby Fuller Four,366,I Fought The Law,1965
716,Bobby Goldsboro,367,Honey,1968
717,The Edwin Hawkins Singers,368,Oh Happy Day,1969
718,Neil Sedaka,369,Oh! Carol,1959
719,Frankie Lymon,370,Goody Goody,1957
720,The Jive Five (Featuring Eugene Pitt),371,I'm A Happy Man,1965
721,Bob Dylan,372,Positively 4th Street,1965
722,The Classics [Brooklyn],373,Till Then,1963
723,The Tremeloes,374,Silence Is Golden,1967
724,Billy Joel,375,Uptown Girl,1983
725,The Velvets Featuring Virgil Johnson,376,Tonight (Could Be The Night),1961
726,Jay And The Americans,377,Dawning,1962
727,Robert And Johnny,378,We Belong Together,1957
728,The Casinos,379,Then You Can Tell Me Goodbye,1966
729,Sam The Sham And The Pharaohs,380,Wooly Bully,1965
730,Lionel Richie,381,Truly,1982
731,Frankie Valli,382,My Eyes Adored You,1974
732,Chuck Berry,383,Sweet Little Sixteen,1958
733,The Cadillacs,384,Speedoo,1955
734,Elvis Presley With The Jordanaires,385,Such A Night,1964
735,Van Morrison,386,Moondance,1977
736,The Dells,387,Oh What A Nite,1956
737,Foreigner,388,I Want To Know What Love Is,1984
738,Shelley Fabares,389,Johnny Angel,1962
739,Barry Manilow,390,I Write The Songs,1975
740,The Five Discs,391,Never Let You Go,1962
741,Roberta Flack,392,The First Time Ever I Saw Your Face,1972
742,The Students,393,I'm So Young,1958
743,Buddy Holly,394,Peggy Sue,1957
744,Martha And The Vandellas,395,Heat Wave,1963
745,The Beach Boys,396,I Get Around,1964
746,The Young Rascals,397,Groovin',1967
747,The Knockouts,398,Darling Lorraine,1959
748,The Paragons [Doo-Wop],399,Florence,1957
749,Carl Perkins,400,Blue Suede Shoes,1956
750,Freddy Cannon,351,"June, July, And August",1962
751,The Righteous Brothers,352,(I Love You) For Sentimental Reasons,1965
752,The Contours,353,Move Mr. Man,1962
753,The Lovin' Spoonful,354,On The Road Again,1965
754,Unit Four Plus Two,355,Wild As The Wind,1965
755,Michael Jackson,356,Can't Get Outta The Rain,1982
756,Jay And The Americans,357,Goodbye Boys Goodbye (Ciao Ragazzi Ciao),1964
757,The Beatles,358,If I Fell,1964
758,Frankie Lymon And The Teenagers,359,Share,1956
759,The Tune Weavers,360,Yo Yo Walk,1957
760,The Flamingos,361,Carried Away,1953
761,The Happenings,362,Tea Time,1966
762,Laura Branigan,363,Living A Lie,1982
763,Ray Charles,364,Carry Me Back To Old Virginny,1960
764,Barry McGuire,365,What Exactly's The Matter With Me,1965
765,Bobby Fuller Four,366,Little Annie Lou,1965
766,Bobby Goldsboro,367,Danny,1968
767,The Edwin Hawkins Singers,368,"Jesus, Lover Of My Soul",1969
768,Neil Sedaka,369,One Way Ticket (To The Blues),1959
769,Frankie Lymon,370,Creation Of Love,1957
770,The Jive Five (Featuring Eugene Pitt),371,"Kiss, Kiss, Kiss",1965
771,Bob Dylan,372,From A Buick 6,1965
772,The Classics [Brooklyn],373,Enie Minie Mo,1963
773,The Tremeloes,374,Let Your Hair Hang Down,1967
774,Billy Joel,375,Careless Talk,1983
775,The Velvets Featuring Virgil Johnson,376,Spring Fever,1961
776,Jay And The Americans,377,She Cried,1962
777,Robert And Johnny,378,Walking In The Rain,1957
778,The Casinos,379,I Still Love You,1966
779,Sam The Sham And The Pharaohs,380,Ain't Gonna Move,1965
780,Lionel Richie,381,Just Put Some Love In Your Heart,1982
781,Frankie Valli,382,Watch Where You Walk,1974
782,Chuck Berry,383,Reelin And Rocking,1958
783,The Cadillacs,384,Let Me Explain,1955
784,Elvis Presley With The Jordanaires,385,Never Ending,1964
785,Van Morrison,386,Cold Wind In August,1977
786,The Dells,387,Jo-Jo,1956
787,Foreigner,388,Street Thunder,1984
788,Shelley Fabares,389,Where's It Gonna Get Me?,1962
789,Barry Manilow,390,A Nice Boy Like Me,1975
790,The Five Discs,391,That Was The Time,1962
791,Roberta Flack,392,Trade Winds,1972
792,The Students,393,Everyday Of The Week,1958
793,Buddy Holly,394,Everyday,1957
794,Martha And The Vandellas,395,A Love Like Yours (Don't Come Knocking Everyday),1963
795,The Beach Boys,396,Don't Worry Baby,1964
796,The Young Rascals,397,Sueño,1967
797,The Knockouts,398,Riot In Room 3C,1959
798,The Paragons [Doo-Wop],399,Hey Little School Girl,1957
799,Carl Perkins,400,"Honey, Don't!",1956
800,Gene Vincent And His Blue Caps,401,Be-Bop-A-Lula,1956
801,Willows,402,Church Bells May Ring,1956
802,Creedence Clearwater Revival,403,Bad Moon Rising,1969
803,Gilbert O'Sullivan,404,Alone Again (Naturally),1972
804,The Beatles,405,All My Loving,1964
805,The Dovells,406,Bristol Stomp,1961
806,The Six Teens,407,A Casual Look,1956
807,Looking Glass,408,Brandy (You're A Fine Girl),1972
808,The Jive Five,409,My True Story,1961
809,Diana Ross And The Supremes,410,Love Child,1968
810,The Hollies,411,Long Cool Woman (In A Black Dress),1972
811,The Temptations,412,Just My Imagination (Running Away With Me),1971
812,The Kinks,413,Lola,1970
813,The Fleetwoods,414,Mr. Blue,1959
814,Beach Boys,415,Surfin' U.S.A.,1963
815,The Union Gap Featuring Gary Puckett,416,Young Girl,1968
816,The Rolling Stones,417,Honky Tonk Women,1969
817,The Searchers,418,Needles And Pins,1964
818,The Beatles,419,I Want To Hold Your Hand,1964
819,Sonny And Cher,420,I Got You Babe,1965
820,Neil Diamond,421,I Am... I Said,1971
821,The Mystics [New York],422,Hushabye,1959
822,Irene Cara,423,Flashdance... What A FeelingHelen St. John,1983
823,Eagles,424,Hotel California,1977
824,Barbra Streisand,425,"Love Theme From ""A Star Is Born"" (Evergreen)",1976
825,The Teen Queens,426,Eddie My Love,1956
826,The Beach Boys,427,"Help Me, Rhonda",1965
827,The Viscounts [USA],428,Harlem Nocturne,1959
828,Dion (Di Muci),429,Donna The Prima Donna,1963
829,The Silhouettes,430,Get A Job,1957
830,The Four Seasons,431,"December, 1963 (Oh, What A Night)",1975
831,Jerry Butler And The Impressions,432,For Your Precious Love,1958
832,Billy Joel,433,The Longest Time,1984
833,Tommy James And The Shondells,434,Crimson And Clover,1968
834,The Regents [New York],435,Barbara-Ann,1961
835,The Supremes,436,Back In My Arms Again,1965
836,The Capris [New York],437,Morse Code Of Love,1982
837,Harry Chapin,438,Cat's In The Cradle,1974
838,The Crystals,439,Then He Kissed Me,1963
839,The Everly Brothers,440,Bye Bye Love,1957
840,The Hollies,441,Bus Stop,1966
841,The Music Explosion,442,I See The Light,1967
842,? (Question Mark) And The Mysterians,443,96 Tears,1966
843,Chuck Berry And His Combo,444,Maybellene,1955
844,Bob Seger And The Silver Bullet Band,445,Old Time Rock & RollBob Seger,1979
845,The Drifters,446,On Broadway,1963
846,Little Caesar And The Romans,447,Those Oldies But Goodies (Remind Me Of You)The Romans,1961
847,Barry Manilow,448,Memory,1982
848,Johnnie And Joe,449,Over The Mountain Across The Sea,1957
849,Fats Domino,450,I'm Walkin',1957
850,Gene Vincent And His Blue Caps,401,Woman Love,1956
851,Willows,402,Baby Tell Me,1956
852,Creedence Clearwater Revival,403,Lodi,1969
853,Gilbert O'Sullivan,404,Save It,1972
854,The Beatles,405,This Boy,1964
855,The Dovells,406,Letters Of Love,1961
856,The Six Teens,407,Teen Age Promise,1956
857,Looking Glass,408,One By One,1972
858,The Jive Five,409,When I Was Single,1961
859,Diana Ross And The Supremes,410,Will This Be The Day,1968
860,The Hollies,411,Look What We've Got,1972
861,The Temptations,412,You Make Your Own Heaven And Hell Right Here On Earth,1971
862,The Kinks,413,Mindless Child Of Motherhood,1970
863,The Fleetwoods,414,You Mean Everything To Me,1959
864,Beach Boys,415,Shut Down,1963
865,The Union Gap Featuring Gary Puckett,416,I'm Losing You,1968
866,The Rolling Stones,417,You Can't Always Get What You Want,1969
867,The Searchers,418,Ain't That Just Like Me,1964
868,The Beatles,419,I Saw Her Standing There,1964
869,Sonny And Cher,420,It's Gonna Rain,1965
870,Neil Diamond,421,Done Too Soon,1971
871,The Mystics [New York],422,Adam And Eve,1959
872,Irene Cara,423,"Love Theme From ""Flashdance"" (Instrumental)",1983
873,Eagles,424,Pretty Maids All In A Row,1977
874,Barbra Streisand,425,I Believe In Love,1976
875,The Teen Queens,426,Just Goofed,1956
876,The Beach Boys,427,"Kiss Me, Baby",1965
877,The Viscounts [USA],428,Dig,1959
878,Dion (Di Muci),429,You're Mine,1963
879,The Silhouettes,430,I Am Lonely,1957
880,The Four Seasons,431,Slip Away,1975
881,Jerry Butler And The Impressions,432,Sweet Was The Wine,1958
882,Billy Joel,433,Christie Lee,1984
883,Tommy James And The Shondells,434,Some Kind Of Love,1968
884,The Regents [New York],435,I'm So Lonely,1961
885,The Supremes,436,Whisper You Love Me Boy,1965
886,The Capris [New York],437,There's A Moon Out Again,1982
887,Harry Chapin,438,Vacancy,1974
888,The Crystals,439,Brother Julius,1963
889,The Everly Brothers,440,I Wonder If I Care As Much,1957
890,The Hollies,441,Don't Run And Hide,1966
891,The Music Explosion,442,Little Bit O' Soul,1967
892,? (Question Mark) And The Mysterians,443,Midnight Hour,1966
893,Chuck Berry And His Combo,444,Wee Wee Hours,1955
894,Bob Seger And The Silver Bullet Band,445,Sunspot Baby,1979
895,The Drifters,446,Let The Music Play,1963
896,Little Caesar And The Romans,447,She Don't Wanna Dance (No More),1961
897,Barry Manilow,448,Heart Of Steel,1982
898,Johnnie And Joe,449,"My Baby's Gone, On, On",1957
899,Fats Domino,450,I'm In The Mood For Love,1957
900,The Beatles,451,Dizzy Miss Lizzy,1965
901,The Beatles,451,You're Going To Lose That Girl,1965
902,Barry Manilow,452,Weekend In New England,1976
903,The Buckinghams,453,Kind Of A Drag,1966
904,Bob Dylan,454,Lay Lady Lay,1969
905,Petula Clark,455,Kiss Me Goodbye,1968
906,The Exciters,456,Tell Him,1962
907,Jay And The Americans,457,Walkin' In The Rain,1969
908,The Everly Brothers,458,Wake Up Little Susie,1957
909,Curtis Lee,459,Pretty Little Angel Eyes,1961
910,The Cuff Links,460,Tracy,1969
911,Bonnie Tyler,461,Total Eclipse Of The Heart,1983
912,The Beatles,462,Penny Lane,1967
913,Petula Clark,463,This Is My Song,1967
914,Kathy Young With The Innocents,464,A Thousand Stars,1960
915,The Supremes,465,Stop! In The Name Of Love,1965
916,Carpenters,466,We've Only Just Begun,1970
917,Paul Stookey,467,Wedding Song (There Is Love),1971
918,Frankie Lymon And The Teenagers,468,The A B C's Of Love,1956
919,The Cyrkle,469,Red Rubber Ball,1966
920,Ben E. King,470,Spanish Harlem,1960
921,Frankie Ford,471,Sea Cruise,1958
922,Sonny James (The Southern Gentleman),472,Young Love,1956
923,Diana Ross And The Supremes,473,Someday We'll Be Together,1969
924,Dionne Warwick,474,Walk On By,1964
925,James Taylor,475,You've Got A Friend,1971
926,The Fireflies,476,You Were Mine,1959
927,Tina Turner,477,What's Love Got To Do With It,1984
928,The Left Banke,478,Walk Away Renee,1966
929,Cozy Cole,479,Topsy I,1958
930,Julio Iglesias And Willie Nelson,480,To All The Girls I've Loved BeforeJulio Iglesias,1984
931,The Outsiders [USA],481,Time Won't Let Me,1966
932,Michael Jackson,482,Thriller,1984
933,Billy Ocean,483,Suddenly,1985
934,Commodores,484,Still,1979
935,The Tokens,485,Portrait Of My Love,1967
936,"Bobby ""Boris"" Pickett And The Crypt-Kickers",486,Monster Mash,1962
937,The Mama's And The Papa's,487,"Monday, Monday",1966
938,Roy Orbison,488,Only The Lonely (Know The Way I Feel),1960
939,The Beatles,489,Michelle,1966
940,Dave 'Baby' Cortez,490,The Happy Organ,1959
941,Bobby Helms,491,My Special Angel,1957
942,Crest's,492,My Juanita,1957
943,Jan And Dean,493,The Little Old Lady (From Pasadena),1964
944,The Happenings,494,I Got Rhythm,1967
945,The Moody Blues,495,Go Now!,1965
946,The Jackson 5,496,ABC,1970
947,The Beach Boys,497,I Get Around,1964
948,Gerry And The Pacemakers,498,Ferry Across The Mersey,1965
949,Ritchie Valens,499,Donna,1958
950,The Spencer Davis Group,500,Gimme Some Lovin',1966
951,Barry Manilow,452,Say The Words,1976
952,The Buckinghams,453,You Make Me Feel So Good,1966
953,Bob Dylan,454,Peggy Day,1969
954,Petula Clark,455,I've Got Love Going For Me,1968
955,The Exciters,456,Hard Way To Go,1962
956,Jay And The Americans,457,(I'd Kill) For The Love Of A Lady,1969
957,The Everly Brothers,458,Maybe Tomorrow,1957
958,Curtis Lee,459,Gee How I Wish You Were Here,1961
959,The Cuff Links,460,Where Do You Go?,1969
960,Bonnie Tyler,461,Straight From The Heart,1983
961,The Beatles,462,Strawberry Fields Forever,1967
962,Petula Clark,463,High,1967
963,Kathy Young With The Innocents,464,Eddie My Darling,1960
964,The Supremes,465,I'm In Love Again,1965
965,Carpenters,466,All Of My Life,1970
966,Paul Stookey,467,Give A Damn,1971
967,Frankie Lymon And The Teenagers,468,Share,1956
968,The Cyrkle,469,How Can I Leave Her,1966
969,Ben E. King,470,First Taste Of Love,1960
970,Frankie Ford,471,Roberta,1958
971,Sonny James (The Southern Gentleman),472,You're The Reason I'm In Love,1956
972,Diana Ross And The Supremes,473,He's My Sunny Boy,1969
973,Dionne Warwick,474,Any Old Time Of Day,1964
974,James Taylor,475,You Can Close Your Eyes,1971
975,The Fireflies,476,Stella Got A Fella,1959
976,Tina Turner,477,Rock And Roll Widow,1984
977,The Left Banke,478,I Haven't Got The Nerve,1966
978,Cozy Cole,479,Topsy II,1958
979,Julio Iglesias And Willie Nelson,480,I Don't Want To Wake You,1984
980,The Outsiders [USA],481,Was It Really Real,1966
981,Michael Jackson,482,Can't Get Outta The Rain,1984
982,Billy Ocean,483,Lucky Man,1985
983,Commodores,484,Such A Woman,1979
984,The Tokens,485,She Comes And Goes,1967
985,"Bobby ""Boris"" Pickett And The Crypt-Kickers",486,Monsters' Mash Party,1962
986,The Mama's And The Papa's,487,Got A Feelin',1966
987,Roy Orbison,488,Here Comes That Song Again,1960
988,The Beatles,489,Girl,1966
989,Dave 'Baby' Cortez,490,Love Me As I Love You,1959
990,Bobby Helms,491,Standing At The End Of My World,1957
991,Crest's,492,Sweetest One,1957
992,Jan And Dean,493,My Mighty G. T. O.,1964
993,The Happenings,494,You're In A Bad Way,1967
994,The Moody Blues,495,Lose Your Money,1965
995,The Jackson 5,496,The Young Folks,1970
996,The Beach Boys,497,Don't Worry Baby,1964
997,Gerry And The Pacemakers,498,Pretend,1965
998,Ritchie Valens,499,La Bamba,1958
999,The Spencer Davis Group,500,Blues In F,1966
0,The Five Satins,1,In The Still Of The Nite,1956
1,The Penguins,2,Hey Senorita,1954
2,Elvis Presley,3,My Way,1977
3,"The Chimes [60s, Brooklyn]",4,Once In Awhile,1960
4,Mello-Kings,5,"Tonite, Tonite",1957
5,Elvis Presley,6,Can't Help Falling In Love,1961
6,Bobby Darin,7,Mack The Knife,1959
7,The Duprees,8,You Belong To Me,1962
8,The Skyliners,9,Since I Don't Have You,1958
9,Elvis Presley,10,Jailhouse Rock,1957
10,Earls,11,I Believe,1963
11,Ritchie Valens,12,Donna,1958
12,The Beatles,13,Hey Jude,1968
13,Elvis Presley,14,The Wonder Of You,1970
14,Elvis Presley,15,Don't Be Cruel,1956
15,The Fidelity's,16,The Things I Love,1958
16,Bill Haley And His Comets,17,Thirteen Women (And Only One Man In Town),1954
17,Dion,18,The Wanderer,1961
18,Elvis Presley,19,Love Me Tender,1956
19,The Platters,20,Only You (And You Alone),1955
20,The Ronettes,21,Be My Baby,1963
21,Dion,22,Runaround Sue,1961
22,The Platters,23,My Prayer,1956
23,The 4 Seasons,24,Rag Doll,1964
24,Jay And The Americans,25,"Cara, Mia",1965
25,The Chantels,26,Maybe,1957
26,The Crests,27,16 Candles,1958
27,Dion And The Belmonts,28,I Wonder Why,1958
28,Don McLean,29,American Pie - Part I,1971
29,Fats Domino,30,Blueberry Hill,1956
30,Elvis Presley With The Jordanaires,31,Are You Lonesome To-night?,1960
31,Dion And The Belmonts,32,Where Or When,1959
32,The Elegants,33,Little Star,1958
33,The Classics [Brooklyn],34,Till Then,1963
34,"The Chimes [60s, Brooklyn]",35,Only Love,1961
35,The Diamonds,36,Little Darlin',1957
36,The Flamingos,37,I Only Have Eyes For You,1959
37,The Dell-Vikings,38,Whispering Bells,1957
38,The 4 Seasons,39,Sherry,1962
39,The Dell-Vikings,40,Come Go With Me,1957
40,The Earls,41,Remember Then,1962
41,The Rays,42,Silhouettes,1957
42,The Excellents,43,Coney Island Baby,1962
43,The Skyliners,44,This I Swear,1959
44,The Passions,45,Just To Be With You,1959
45,The Shirelles,46,Will You Love Me Tomorrow,1960
46,Del Shannon,47,Runaway,1961
47,The Righteous Brothers,48,You've Lost That Lovin' Feelin',1964
48,The Passions,49,I Only Want You,1960
49,Ben E. King,50,Stand By Me,1961
50,The Five Satins,1,The Jones Girl,1956
51,The Penguins,2,Earth Angel,1954
52,Elvis Presley,3,America,1977
53,"The Chimes [60s, Brooklyn]",4,Summer Night,1960
54,Mello-Kings,5,Do Baby Do,1957
55,Elvis Presley,6,Rock-A-Hula Baby,1961
56,Bobby Darin,7,Was There A Call For Me,1959
57,The Duprees,8,Take Me As I Am,1962
58,The Skyliners,9,"One Night, One Night",1958
59,Elvis Presley,10,Treat Me Nice,1957
60,Earls,11,Don't Forget,1963
61,Ritchie Valens,12,La Bamba,1958
62,The Beatles,13,Revolution,1968
63,Elvis Presley,14,Mama Liked The Roses,1970
64,Elvis Presley,15,Hound Dog,1956
65,The Fidelity's,16,Hold On To What'Cha Got (And Get One More),1958
66,Bill Haley And His Comets,17,(We're Gonna) Rock Around The Clock,1954
67,Dion,18,The Majestic,1961
68,Elvis Presley,19,Anyway You Want Me (That's How I'll Be),1956
69,The Platters,20,"Bark, Battle And Ball",1955
70,The Ronettes,21,Tedesco And Pitman,1963
71,Dion,22,Runaway Girl,1961
72,The Platters,23,Heaven On Earth,1956
73,The 4 Seasons,24,Silence Is Golden,1964
74,Jay And The Americans,25,When It's All Over,1965
75,The Chantels,26,Come My Little Baby,1957
76,The Crests,27,Beside You,1958
77,Dion And The Belmonts,28,Teen Angel,1958
78,Don McLean,29,American Pie - Part II,1971
79,Fats Domino,30,Honey Chile,1956
80,Elvis Presley With The Jordanaires,31,I Gotta Know,1960
81,Dion And The Belmonts,32,That's My Desire,1959
82,The Elegants,33,Getting Dizzy,1958
83,The Classics [Brooklyn],34,Enie Minie Mo,1963
84,"The Chimes [60s, Brooklyn]",35,I'm In The Mood For Love,1961
85,The Diamonds,36,Faithful And True,1957
86,The Flamingos,37,Goodnight Sweetheart,1959
87,The Dell-Vikings,38,Don't Be A Fool,1957
88,The 4 Seasons,39,I've Cried Before,1962
89,The Dell-Vikings,40,How Can I Find True Love,1957
90,The Earls,41,Let's Waddle,1962
91,The Rays,42,Daddy Cool,1957
92,The Excellents,43,You Baby You,1962
93,The Skyliners,44,Tomorrow,1959
94,The Passions,45,Oh Melancholy Me,1959
95,The Shirelles,46,Boys,1960
96,Del Shannon,47,Jody,1961
97,The Righteous Brothers,48,There's A Woman,1964
98,The Passions,49,This Is My Love,1960
99,Ben E. King,50,On The Horizon,1961
100,The Marcels,51,Blue Moon,1961
101,Johnny Ace,52,Pledging My Love,1954
102,The Angels,53,Til,1961
103,Danny And The Juniors,54,At The Hop,1957
104,The Temptations,55,My Girl,1964
105,The Righteous Brothers,56,Hung On You,1965
106,The Beatles,57,Yesterday,1965
107,Simon And Garfunkel,58,Bridge Over Troubled Water,1970
108,The Platters,59,The Great Pretender,1955
109,The Cadillacs,60,Gloria,1954
110,Little Anthony And The Imperials,61,Tears On My Pillow,1958
111,The Capris [New York],62,Morse Code Of Love,1982
112,Johnny Mathis,63,Chances Are,1957
113,Billy Ward And His Dominoes,64,Star Dust,1957
114,Elvis Presley,65,Memories,1969
115,The Dubs,66,Could This Be Magic,1957
116,Brooklyn Bridge,67,Worst That Could Happen,1968
117,Elvis Presley,68,Suspicious Minds,1969
118,The Danleers,69,One Summer Night,1958
119,The Drifters,70,Under The Boardwalk,1964
120,The Association,71,Cherish,1966
121,Gene Chandler,72,Duke Of Earl,1961
122,Chuck Berry,73,Johnny B. Goode,1958
123,The Rolling Stones,74,(I Can't Get No) Satisfaction,1965
124,Dion And The Belmonts,75,Where Or When,1959
125,The Charts,76,Deserie,1957
126,The Shirelles,77,Soldier Boy,1962
127,The Turtles,78,Happy Together,1967
128,Heatwave,79,Always And Forever,1977
129,The Isley Brothers,80,Shout - Part 1,1959
130,The Doors,81,Light My Fire,1967
131,Led Zeppelin,82,Stairway To Heaven [Mono],1972
132,Elvis Presley,83,Burning Love,1972
133,Lee Andrews And The Hearts,84,Try The Impossible,1958
134,Elvis Presley,85,Heartbreak Hotel,1956
135,The Beatles,86,Twist And Shout,1964
136,Buddy Holly,87,Peggy Sue,1957
137,Marvin Gaye,88,I Heard It Through The Grapevine,1968
138,The Platters,89,Smoke Gets In Your Eyes,1958
139,Jackie Wilson,90,Lonely Teardrops,1958
140,The Beatles,91,I Want To Hold Your Hand,1963
141,Percy Faith And His Orchestra,92,"The Theme From ""A Summer Place""",1959
142,The Tokens,93,The Lion Sleeps Tonight,1961
143,Safaris,94,Image Of A Girl,1960
144,Ritchie Valens,95,Donna,1958
145,Dion And The Belmonts,96,A Teenager In Love,1959
146,John Lennon / Plastic Ono Band,97,Imagine,1971
147,Carpenters,98,(They Long To Be) Close To You,1970
148,Elvis Presley,99,Hound Dog,1956
149,Connie Francis,100,Where The Boys Are,1961
150,The Marcels,51,Goodbye To Love,1961
151,Johnny Ace,52,No Money,1954
152,The Angels,53,A Moment Ago,1961
153,Danny And The Juniors,54,Sometimes (When I'm All Alone),1957
154,The Temptations,55,(Talking 'Bout) Nobody But My Baby,1964
155,The Righteous Brothers,56,Unchained Melody,1965
156,The Beatles,57,Act Naturally,1965
157,Simon And Garfunkel,58,Keep The Customer Satisfied,1970
158,The Platters,59,I'm Just A Dancing Partner,1955
159,The Cadillacs,60,I Wonder Why,1954
160,Little Anthony And The Imperials,61,Two People In The World,1958
161,The Capris [New York],62,There's A Moon Out Again,1982
162,Johnny Mathis,63,The Twelfth Of Never,1957
163,Billy Ward And His Dominoes,64,Lucinda,1957
164,Elvis Presley,65,Charro,1969
165,The Dubs,66,Such Lovin',1957
166,Brooklyn Bridge,67,"Your Kite, My Kite.",1968
167,Elvis Presley,68,You'll Think Of Me,1969
168,The Danleers,69,Wheelin' And A-Dealin',1958
169,The Drifters,70,I Don't Want To Go On Without You,1964
170,The Association,71,Don't Blame It On Me,1966
171,Gene Chandler,72,Kissin' In The Kitchen,1961
172,Chuck Berry,73,Around And Around,1958
173,The Rolling Stones,74,The Under Assistant West Coast Promotion Man,1965
174,Dion And The Belmonts,75,That's My Desire,1959
175,The Charts,76,Zoop,1957
176,The Shirelles,77,Love Is A Swingin' Thing,1962
177,The Turtles,78,Like The Seasons,1967
178,Heatwave,79,Super Soul Sister,1977
179,The Isley Brothers,80,Shout - Part 2,1959
180,The Doors,81,The Crystal Ship,1967
181,Led Zeppelin,82,Stairway To Heaven [Stereo],1972
182,Elvis Presley,83,It's A Matter Of Time,1972
183,Lee Andrews And The Hearts,84,Nobody's Home,1958
184,Elvis Presley,85,I Was The One,1956
185,The Beatles,86,There's A Place,1964
186,Buddy Holly,87,Everyday,1957
187,Marvin Gaye,88,You're What's Happening (In The World Today),1968
188,The Platters,89,No Matter What You Are,1958
189,Jackie Wilson,90,In The Blue Of Evening,1958
190,The Beatles,91,I Saw Her Standing There,1963
191,Percy Faith And His Orchestra,92,Go-Go-Po-Go,1959
192,The Tokens,93,Tina,1961
193,Safaris,94,4 Steps To Love,1960
194,Ritchie Valens,95,La Bamba,1958
195,Dion And The Belmonts,96,I've Cried Before,1959
196,John Lennon / Plastic Ono Band,97,It's So Hard,1971
197,Carpenters,98,I Kept On Loving You,1970
198,Elvis Presley,99,Don't Be Cruel,1956
199,Connie Francis,100,No One,1961
200,The Dubs,101,Chapel Of Dreams,1959
201,The Channels,102,The Closer You Are,1956
202,The Five Satins,103,To The Aisle,1957
203,The Duprees,104,Have You Heard,1963
204,Chubby Checker,105,The Twist,1961
205,Shep And The Limelites,106,Daddy's Home,1961
206,Roy Orbison And The Candy Men,107,Pretty Woman,1964
207,The Tymes,108,So Much In Love,1963
208,Chicago,109,Beginnings,1971
209,Elvis Presley,110,Don't,1958
210,The Schoolboys [DooWop],111,Shirley,1956
211,Frank Sinatra,112,"Theme From New York, New York",1980
212,The Platters,113,Twilight Time,1958
213,Elvis Presley,114,All Shook Up,1957
214,The Chords [New York],115,Sh-boom,1954
215,Bobby Darin,116,Beyond The Sea,1960
216,Dion (Di Muci),117,Donna The Prima Donna,1963
217,The Moonglows,118,Sincerely,1954
218,The Aquatones,119,She's The One For Me,1958
219,Elvis Presley,120,If I Can Dream,1968
220,Tommy James And The Shondells,121,Mony Mony,1968
221,Simon And Garfunkel,122,The Sounds Of Silence,1965
222,The Fireflies,123,You Were Mine,1959
223,The 4 Seasons,124,Big Girls Don't Cry,1962
224,Vito And The Salutations,125,Gloria,1962
225,Jay And The Americans,126,This Magic Moment,1968
226,The Critters,127,Mr. Dieingly Sad,1966
227,Bobby Day,128,Rock-In Robin,1958
228,Harvey And The Moonglows,129,Ten Commandments Of Love,1958
229,The Teenagers Featuring Frankie Lymon,130,Why Do Fools Fall In Love,1955
230,Elvis Presley,131,"I Want You, I Need You, I Love You",1956
231,The Beatles,132,Let It Be,1970
232,The Moody Blues,133,Nights In White Satin,1972
233,Robert And Johnny,134,We Belong Together,1957
234,Johnny Mathis,135,Chances Are,1957
235,Elvis Presley With The JordanairesElvis Sings - Vol. 1A,136,Blue HawaiiA,1963
236,Percy Sledge,137,When A Man Loves A Woman,1966
237,The Beach Boys,138,Good Vibrations,1966
238,Richard Harris,139,Mac Arthur Park,1968
239,The Capris [New York],140,There's A Moon Out Tonight,1960
240,The Temptations,141,Ain't Too Proud To Beg,1966
241,Roy Orbison,142,Crying,1961
242,Bobby Darin,143,Dream Lover,1959
243,Mel Carter,144,"Hold Me, Thrill Me, Kiss Me",1965
244,Elvis Presley With The Jordanaires,145,It's Now Or Never,1960
245,The Everly Brothers,146,Let It Be Me,1959
246,The Beatles,147,Something,1969
247,Frankie Avalon,148,Venus,1959
248,The Shields,149,You Cheated,1958
249,Paul Anka,150,Put Your Head On My Shoulder,1959
250,The Dubs,101,Is There A Love For Me,1959
251,The Channels,102,Now You Know (I Love You So),1956
252,The Five Satins,103,Wish I Had My Baby,1957
253,The Duprees,104,Love Eyes,1963
254,Chubby Checker,105,Twistin' U.S.A.,1961
255,Shep And The Limelites,106,This I Know,1961
256,Roy Orbison And The Candy Men,107,Yo Te Amo Maria,1964
257,The Tymes,108,Roscoe James McClain,1963
258,Chicago,109,Colour My World,1971
259,Elvis Presley,110,I Beg Of You,1958
260,The Schoolboys [DooWop],111,Please Say You Want Me,1956
